system:index,BAMod_bool,BAMod_class,BAS3_bool,BAS3_class,FinalBurn_class,Landsat_bool,Landsat_class,TM_bool,TM_class,comb,issubset_BAMod,issubset_BAS3,issubset_Landsat,issubset_TM,lat,lon,sampleID
1_1_1_1_2_2_2_1_2_000000000000000000d4,0,0,1,1,0,0,0,0,0,15,1,1,0,0,66.68498673,146.1718385,1940
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000d5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.68549507,164.8072602,776
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000d6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.68761314,135.9973962,1277
1_1_1_1_2_2_1_2_1_2_000000000000000000d7,0,0,1,1,0,0,0,0,0,15,1,1,0,1,66.68802784,125.2288009,2945
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000d8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.68872792,147.1921344,1137
1_1_1_1_2_2_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000007a,0,0,1,2,2,0,0,1,2,7,1,1,0,1,66.68962419,150.4496192,34
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000da,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.690409,136.7125022,2064
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000db,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.69722696,150.1397652,2174
1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000043,0,0,1,2,2,1,2,1,2,3,1,1,1,1,66.69804744,150.5349084,321
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000dc,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.69977311,164.9117057,783
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000dd,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.70185105,138.6087706,932
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000de,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.7030996,152.6857915,1497
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000df,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.7080269,150.7111321,1683
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.70940477,175.9534922,1930
1_1_1_2_1_1_1_2_1_1_1_1_1_2_000000000000000004ff,0,0,1,1,0,1,1,0,0,11,0,1,1,0,66.7130969,132.6516792,2125
1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000044,0,0,1,2,2,1,2,1,2,3,1,1,1,1,66.71522389,136.3823548,309
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000005ff,0,0,0,0,2,0,0,0,0,0,1,1,1,1,66.71566089,176.4344999,556
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.71599978,150.6508539,1887
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.71684701,151.8190269,477
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.7171636,143.2972612,1642
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.71741777,176.3128378,1846
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.71831405,150.0424364,3006
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.71939761,138.3956791,871
1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000064d,1,2,1,2,2,0,0,1,2,5,1,1,1,1,66.72021363,152.2010693,1150
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.72513202,123.7029099,3092
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.72565373,149.837835,2212
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000e9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.72750872,133.6993048,3358
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ea,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.72794125,133.5133202,544
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000eb,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.72993447,147.2977616,3156
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ec,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.73400563,176.7252155,3356
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ed,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.73884375,136.7472788,3032
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ee,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.74002541,137.9728404,1859
1_1_1_1_1_1_1_2_2_1_1_1_2_00000000000000000572,1,1,1,1,1,0,0,0,0,13,1,1,1,0,66.74086372,146.0738587,2816
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000ef,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.74155043,123.8050412,750
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.75068712,145.9490128,2495
